aggregation,averageCloseMoveRanges,averageContinuationMfeRanges,averageDownMaeRanges,averageReversionCloseMoveRanges,averageReversionMfeRanges,averageUpMfeRanges,endInsideCount,endInsideRate,events,group,horizonBars,medianCloseMoveRanges,medianReversionCloseMoveRanges,outcomes,pocTouchedCount,pocTouchedRate,profileWeightedAverageCloseMoveRanges,profileWeightedAverageReversionCloseMoveRanges,profileWeightedEndInsideRate,profileWeightedPocTouchedRate,profiles
boundary,-0.0297,0.2949,0.3059,0.0297,0.3059,0.2949,27,0.4576,59,HIGH,1,0.0,-0.0,59,15,0.2542,-0.0232,0.0232,0.3558,0.2123,15
boundary,-0.0137,0.5303,0.5471,0.0137,0.5471,0.5303,27,0.4576,59,HIGH,3,-0.1,0.1,59,28,0.4746,-0.0777,0.0777,0.4431,0.3602,15
boundary,0.0569,0.7681,0.7558,-0.0569,0.7558,0.7681,23,0.3898,59,HIGH,6,-0.06,0.06,59,36,0.6102,0.1267,-0.1267,0.3076,0.5,15
boundary,0.1339,1.1566,0.9786,-0.1339,0.9786,1.1566,27,0.4576,59,HIGH,12,-0.11,0.11,59,46,0.7797,0.3811,-0.3811,0.4319,0.6571,15
boundary,-0.1062,0.4637,0.4637,-0.1062,0.2507,0.2507,10,0.25,40,LOW,1,-0.115,-0.115,40,6,0.15,-0.0996,-0.0996,0.2371,0.2133,12
boundary,-0.1397,0.7863,0.7863,-0.1397,0.4642,0.4642,14,0.35,40,LOW,3,0.01,0.01,40,9,0.225,-0.0416,-0.0416,0.3135,0.2788,12
boundary,0.0665,0.9475,0.9475,0.0665,0.7632,0.7632,15,0.375,40,LOW,6,0.215,0.215,40,19,0.475,0.1435,0.1435,0.3849,0.5357,12
boundary,0.2702,1.3088,1.3088,0.2702,1.1892,1.1892,11,0.275,40,LOW,12,0.43,0.43,40,28,0.7,0.4159,0.4159,0.2778,0.7302,12
allEvents,-0.0606,0.3631,0.3697,-0.0253,0.2836,0.2771,37,0.3737,99,ALL,1,-0.08,-0.02,99,21,0.2121,-0.0936,-0.083,0.2561,0.1527,21
allEvents,-0.0646,0.6337,0.6437,-0.0483,0.5136,0.5036,41,0.4141,99,ALL,3,-0.09,0.09,99,37,0.3737,-0.1271,-0.0586,0.3619,0.2485,21
allEvents,0.0608,0.8406,0.8332,-0.0071,0.7588,0.7662,38,0.3838,99,ALL,6,0.01,0.15,99,55,0.5556,0.0543,-0.1567,0.3231,0.4342,21
allEvents,0.189,1.2181,1.112,0.0294,1.0637,1.1698,38,0.3838,99,ALL,12,-0.01,0.22,99,74,0.7475,0.3534,-0.1972,0.3684,0.6576,21
interaction,-0.0719,0.361,0.3751,-0.0197,0.2844,0.2704,36,0.3711,97,BREACH,1,-0.09,-0.02,97,20,0.2062,-0.0976,-0.0807,0.2537,0.1502,21
interaction,-0.0744,0.6164,0.6472,-0.0241,0.5192,0.4884,41,0.4227,97,BREACH,3,-0.09,0.1,97,36,0.3711,-0.1247,-0.0442,0.3685,0.2475,21
interaction,0.0682,0.8165,0.8312,-0.0016,0.7689,0.7541,37,0.3814,97,BREACH,6,0.07,0.18,97,54,0.5567,0.0628,-0.1489,0.326,0.4374,21
interaction,0.1791,1.2018,1.1158,0.0331,1.078,1.164,37,0.3814,97,BREACH,12,-0.01,0.22,97,72,0.7423,0.3519,-0.1936,0.3633,0.6576,21
interaction,0.485,0.465,0.11,-0.295,0.245,0.6,1,0.5,2,TOUCH,1,0.485,-0.295,2,1,0.5,0.485,-0.295,0.5,0.5,2
interaction,0.41,1.475,0.475,-1.22,0.245,1.245,0,0.0,2,TOUCH,3,0.41,-1.22,2,1,0.5,0.41,-1.22,0.0,0.5,2
interaction,-0.3,2.01,0.93,-0.27,0.27,1.35,1,0.5,2,TOUCH,6,-0.3,-0.27,2,1,0.5,-0.3,-0.27,0.5,0.5,2
interaction,0.67,2.01,0.93,-0.15,0.37,1.45,1,0.5,2,TOUCH,12,0.67,-0.15,2,2,1.0,0.67,-0.15,0.5,1.0,2
testOrdinal,0.0263,0.3193,0.363,0.0174,0.3267,0.283,7,0.2593,27,FIRST_TEST,1,0.01,-0.01,27,5,0.1852,-0.0043,-0.0367,0.2381,0.119,21
testOrdinal,-0.0948,0.6185,0.6478,0.0244,0.5319,0.5026,13,0.4815,27,FIRST_TEST,3,0.04,0.1,27,8,0.2963,-0.1788,-0.0688,0.4524,0.2143,21
testOrdinal,0.1156,0.7737,0.8041,-0.0111,0.7889,0.7585,9,0.3333,27,FIRST_TEST,6,0.21,0.07,27,14,0.5185,0.0164,-0.1607,0.2857,0.4286,21
testOrdinal,0.3074,1.1263,1.0133,-0.0444,1.0352,1.1481,13,0.4815,27,FIRST_TEST,12,-0.05,0.37,27,18,0.6667,0.2529,-0.2238,0.5,0.619,21
testOrdinal,-0.0932,0.3796,0.3722,-0.0412,0.2675,0.2749,30,0.4167,72,REPEATED_TEST,1,-0.085,-0.025,72,16,0.2222,-0.1949,-0.0746,0.2474,0.1609,21
testOrdinal,-0.0533,0.6394,0.6422,-0.0756,0.5068,0.504,28,0.3889,72,REPEATED_TEST,3,-0.105,0.065,72,29,0.4028,-0.1515,-0.0039,0.3586,0.2372,21
testOrdinal,0.0403,0.8657,0.8442,-0.0056,0.7475,0.769,29,0.4028,72,REPEATED_TEST,6,-0.055,0.165,72,41,0.5694,0.0941,-0.1526,0.3466,0.4381,21
testOrdinal,0.1446,1.2525,1.149,0.0571,1.0744,1.1779,25,0.3472,72,REPEATED_TEST,12,0.005,0.18,72,56,0.7778,0.3669,-0.1823,0.3255,0.6571,21
closeState,-0.012,0.3414,0.346,-0.0029,0.29,0.2854,22,0.6286,35,INSIDE,1,0.01,-0.01,35,17,0.4857,-0.0385,0.0047,0.5825,0.4456,14
closeState,0.0437,0.6891,0.5971,-0.166,0.4863,0.5783,14,0.4,35,INSIDE,3,0.01,-0.11,35,20,0.5714,-0.0574,-0.0996,0.2815,0.4779,14
closeState,0.1466,0.8983,0.7709,-0.0049,0.7249,0.8523,14,0.4,35,INSIDE,6,0.09,0.03,35,24,0.6857,0.0968,0.0206,0.3384,0.6088,14
closeState,0.0846,1.3,1.0649,0.0851,0.956,1.1911,16,0.4571,35,INSIDE,12,-0.09,0.22,35,32,0.9143,0.1849,0.2524,0.5366,0.8946,14
closeState,-0.275,0.375,0.375,-0.275,0.225,0.225,1,0.5,2,OPPOSITE_OUTSIDE,1,-0.275,-0.275,2,0,0.0,-0.275,-0.275,0.5,0.0,2
closeState,0.22,0.745,0.745,0.22,0.92,0.92,1,0.5,2,OPPOSITE_OUTSIDE,3,0.22,0.22,2,1,0.5,0.22,0.22,0.5,0.5,2
closeState,0.96,0.77,0.77,0.96,1.455,1.455,1,0.5,2,OPPOSITE_OUTSIDE,6,0.96,0.96,2,1,0.5,0.96,0.96,0.5,0.5,2
closeState,0.47,0.84,0.84,0.47,1.715,1.715,1,0.5,2,OPPOSITE_OUTSIDE,12,0.47,0.47,2,1,0.5,0.47,0.47,0.5,0.5,2
closeState,-0.0811,0.375,0.3829,-0.0298,0.2819,0.274,14,0.2258,62,OUTSIDE,1,-0.095,-0.01,62,4,0.0645,-0.098,-0.0792,0.1673,0.06,20
closeState,-0.135,0.5989,0.6668,0.0095,0.516,0.4481,26,0.4194,62,OUTSIDE,3,-0.195,0.195,62,16,0.2581,-0.1207,-0.0364,0.3774,0.1802,20
closeState,-0.0166,0.8103,0.8705,-0.0395,0.7555,0.6953,23,0.371,62,OUTSIDE,6,-0.005,0.285,62,30,0.4839,0.0531,-0.1899,0.3302,0.3825,20
closeState,0.2389,1.184,1.1474,-0.0163,1.1035,1.1402,21,0.3387,62,OUTSIDE,12,0.12,0.205,62,41,0.6613,0.3582,-0.192,0.3185,0.5867,20
totalVolumePercentilePrior,-0.2814,0.3136,0.4921,0.0714,0.345,0.1664,7,0.5,14,0.00-0.25,1,-0.24,-0.03,14,5,0.3571,-0.334,0.1321,0.4048,0.3809,7
totalVolumePercentilePrior,-0.4279,0.5764,0.8536,0.0164,0.5693,0.2921,9,0.6429,14,0.00-0.25,3,-0.515,0.19,14,8,0.5714,-0.3674,0.0079,0.5952,0.5238,7
totalVolumePercentilePrior,-0.3229,0.7964,1.1021,-0.0986,0.7543,0.4486,3,0.2143,14,0.00-0.25,6,-0.465,-0.295,14,8,0.5714,-0.1414,-0.2086,0.1429,0.5238,7
totalVolumePercentilePrior,0.07,1.1157,1.2336,-0.1629,0.95,0.8321,6,0.4286,14,0.00-0.25,12,0.005,0.015,14,10,0.7143,0.3152,-0.3305,0.3333,0.6667,7
totalVolumePercentilePrior,0.0047,0.4265,0.3494,-0.1106,0.2706,0.3476,9,0.5294,17,0.26-0.50,1,0.02,-0.02,17,3,0.1765,-0.0274,-0.1795,0.4271,0.1146,8
totalVolumePercentilePrior,0.1494,0.7106,0.58,-0.3188,0.4524,0.5829,6,0.3529,17,0.26-0.50,3,0.04,-0.2,17,8,0.4706,0.2024,-0.2505,0.4167,0.3333,8
totalVolumePercentilePrior,0.1235,1.01,0.7665,-0.24,0.6341,0.8776,10,0.5882,17,0.26-0.50,6,-0.06,0.18,17,11,0.6471,0.2908,-0.1096,0.6146,0.5625,8
totalVolumePercentilePrior,-0.0865,1.4676,1.1035,-0.3606,0.8265,1.1906,5,0.2941,17,0.26-0.50,12,-0.19,-0.21,17,13,0.7647,0.066,-0.1735,0.3125,0.8125,8
totalVolumePercentilePrior,-0.0247,0.3388,0.2753,-0.0094,0.2765,0.34,10,0.5882,17,0.51-0.75,1,0.01,0.01,17,4,0.2353,-0.1066,0.0699,0.5833,0.1875,8
totalVolumePercentilePrior,0.2682,0.7706,0.5188,-0.1447,0.57,0.8218,5,0.2941,17,0.51-0.75,3,0.33,0.01,17,7,0.4118,0.0844,0.069,0.4062,0.4062,8
totalVolumePercentilePrior,0.2824,1.0059,0.6947,0.0118,0.8182,1.1294,6,0.3529,17,0.51-0.75,6,0.07,0.07,17,10,0.5882,0.2282,0.0468,0.3438,0.5625,8
totalVolumePercentilePrior,0.1471,1.4024,1.0053,-0.1529,1.0618,1.4588,4,0.2353,17,0.51-0.75,12,0.43,-0.18,17,13,0.7647,-0.0082,-0.2009,0.25,0.75,8
totalVolumePercentilePrior,-0.0278,0.3785,0.3678,-0.0176,0.272,0.2827,9,0.2195,41,0.76-1.00,1,-0.02,-0.01,41,8,0.1951,-0.0147,-0.0356,0.2061,0.1667,19
totalVolumePercentilePrior,-0.0951,0.5859,0.6359,0.101,0.5144,0.4644,16,0.3902,41,0.76-1.00,3,-0.04,0.12,41,12,0.2927,-0.0841,0.0964,0.3377,0.2368,19
totalVolumePercentilePrior,0.1476,0.7407,0.8171,0.1456,0.8356,0.7593,16,0.3902,41,0.76-1.00,6,0.29,0.31,41,22,0.5366,0.1416,0.1376,0.3509,0.4561,19
totalVolumePercentilePrior,0.4434,1.141,1.1354,0.3356,1.2971,1.3027,17,0.4146,41,0.76-1.00,12,0.29,0.51,41,33,0.8049,0.476,0.2961,0.386,0.7456,19
totalVolumePercentilePrior,-0.058,0.303,0.401,-0.074,0.28,0.182,2,0.2,10,NA,1,0.01,-0.12,10,1,0.1,-0.058,-0.074,0.2,0.1,10
totalVolumePercentilePrior,-0.361,0.547,0.703,-0.127,0.441,0.285,5,0.5,10,NA,3,-0.185,-0.04,10,2,0.2,-0.361,-0.127,0.5,0.2,10
totalVolumePercentilePrior,-0.241,0.743,0.872,-0.141,0.561,0.432,3,0.3,10,NA,6,-0.175,-0.095,10,4,0.4,-0.241,-0.141,0.3,0.4,10
totalVolumePercentilePrior,-0.148,0.94,1.042,0.016,0.673,0.571,6,0.6,10,NA,12,-0.335,0.125,10,5,0.5,-0.148,0.016,0.6,0.5,10
absoluteDeltaPercentilePrior,-0.0985,0.3481,0.3485,-0.0148,0.2811,0.2807,11,0.4074,27,0.00-0.25,1,0.0,-0.09,27,7,0.2593,-0.1622,-0.0012,0.3472,0.2315,18
absoluteDeltaPercentilePrior,-0.1467,0.6841,0.6837,-0.1785,0.4541,0.4544,14,0.5185,27,0.00-0.25,3,-0.23,0.1,27,11,0.4074,-0.1946,-0.1698,0.4769,0.3009,18
absoluteDeltaPercentilePrior,-0.1219,0.9107,0.9467,-0.2448,0.6678,0.6319,8,0.2963,27,0.00-0.25,6,-0.28,-0.26,27,14,0.5185,-0.098,-0.2745,0.2546,0.4306,18
absoluteDeltaPercentilePrior,-0.1956,1.3222,1.3096,-0.1156,0.93,0.9426,14,0.5185,27,0.00-0.25,12,-0.22,0.22,27,20,0.7407,-0.0721,-0.0829,0.4815,0.7083,18
absoluteDeltaPercentilePrior,0.0437,0.3081,0.3088,0.1275,0.3719,0.3712,7,0.4375,16,0.26-0.50,1,0.0,0.175,16,5,0.3125,0.0214,0.0514,0.3333,0.303,11
absoluteDeltaPercentilePrior,0.1025,0.4788,0.5131,0.0313,0.5781,0.5438,6,0.375,16,0.26-0.50,3,0.165,0.165,16,8,0.5,0.1156,0.0892,0.3333,0.4242,11
absoluteDeltaPercentilePrior,0.2838,0.6894,0.6737,0.1,0.8325,0.8481,8,0.5,16,0.26-0.50,6,0.25,0.165,16,11,0.6875,0.42,0.253,0.4697,0.697,11
absoluteDeltaPercentilePrior,0.1519,0.9619,1.0144,0.1806,1.1763,1.1238,4,0.25,16,0.26-0.50,12,0.445,0.44,16,14,0.875,0.4421,0.3497,0.2727,0.8788,11
absoluteDeltaPercentilePrior,0.0258,0.3233,0.3083,0.0108,0.2775,0.2925,4,0.3333,12,0.51-0.75,1,0.01,0.0,12,3,0.25,0.0527,0.0123,0.369,0.131,7
absoluteDeltaPercentilePrior,0.0233,0.535,0.5508,0.2383,0.6067,0.5908,5,0.4167,12,0.51-0.75,3,0.025,0.355,12,4,0.3333,0.1039,0.2525,0.5,0.1667,7
absoluteDeltaPercentilePrior,0.2083,0.6475,0.6817,0.5167,1.0017,0.9675,6,0.5,12,0.51-0.75,6,0.135,0.445,12,9,0.75,0.3732,0.2268,0.4524,0.5714,7
absoluteDeltaPercentilePrior,0.8225,1.2058,0.8867,-0.0858,1.2892,1.6083,3,0.25,12,0.51-0.75,12,0.705,0.06,12,11,0.9167,0.7624,-0.376,0.3214,0.8571,7
absoluteDeltaPercentilePrior,-0.1109,0.4326,0.4276,-0.1038,0.2474,0.2524,13,0.3824,34,0.76-1.00,1,-0.15,-0.07,34,5,0.1471,-0.1414,-0.1773,0.2969,0.1562,16
absoluteDeltaPercentilePrior,-0.0221,0.7271,0.6888,-0.0603,0.5191,0.5574,11,0.3235,34,0.76-1.00,3,-0.035,0.02,34,12,0.3529,-0.1297,-0.0754,0.2083,0.2656,16
absoluteDeltaPercentilePrior,0.1376,0.9529,0.8603,-0.0141,0.7688,0.8615,13,0.3824,34,0.76-1.00,6,0.18,0.355,34,17,0.5,0.0268,-0.0882,0.3333,0.4531,16
absoluteDeltaPercentilePrior,0.3874,1.3421,1.1012,0.1179,1.1524,1.3932,11,0.3235,34,0.76-1.00,12,0.135,0.24,34,24,0.7059,0.4659,-0.1401,0.349,0.7031,16
absoluteDeltaPercentilePrior,-0.058,0.303,0.401,-0.074,0.28,0.182,2,0.2,10,NA,1,0.01,-0.12,10,1,0.1,-0.058,-0.074,0.2,0.1,10
absoluteDeltaPercentilePrior,-0.361,0.547,0.703,-0.127,0.441,0.285,5,0.5,10,NA,3,-0.185,-0.04,10,2,0.2,-0.361,-0.127,0.5,0.2,10
absoluteDeltaPercentilePrior,-0.241,0.743,0.872,-0.141,0.561,0.432,3,0.3,10,NA,6,-0.175,-0.095,10,4,0.4,-0.241,-0.141,0.3,0.4,10
absoluteDeltaPercentilePrior,-0.148,0.94,1.042,0.016,0.673,0.571,6,0.6,10,NA,12,-0.335,0.125,10,5,0.5,-0.148,0.016,0.6,0.5,10
